Date,Variance_Swap_PnL,VIX_Products_PnL,ETF_Arb_PnL,Skew_Trading_PnL,Total_Daily_PnL,Cumulative_PnL,Delta_PnL,Gamma_PnL,Vega_PnL,Theta_PnL,Sharpe_30D,Sortino_30D,Win_Rate_30D
2025-03-17 21:18:55.764064,19391.0,5323.0,9745.0,7531.0,41989.0,421826.0,3597.0,18954.0,27960.0,-3974.0,2.12,2.18,0.54
2025-03-18 21:18:55.764064,1385.0,7854.0,654.0,-4940.0,4953.0,426779.0,-193.0,-18390.0,8012.0,-3153.0,1.07,1.25,0.59
2025-03-19 21:18:55.764064,-2106.0,-9311.0,-9639.0,301.0,-20755.0,406024.0,10350.0,1880.0,32450.0,-2694.0,1.67,3.0,0.56
2025-03-20 21:18:55.764064,16670.0,41172.0,1781.0,9825.0,69447.0,475472.0,6622.0,21507.0,23379.0,-2319.0,2.49,2.61,0.57
2025-03-21 21:18:55.764064,-11446.0,-11707.0,13310.0,5355.0,-4488.0,470984.0,5579.0,1953.0,26971.0,-3543.0,1.05,2.24,0.68
2025-03-22 21:18:55.764064,46346.0,-7055.0,1953.0,3595.0,44840.0,515823.0,1679.0,-1548.0,27746.0,-2432.0,1.13,2.61,0.56
2025-03-23 21:18:55.764064,29988.0,19972.0,20278.0,5301.0,75538.0,591362.0,2735.0,19263.0,1417.0,-2072.0,1.99,2.65,0.59
2025-03-24 21:18:55.764064,21842.0,26107.0,2179.0,14208.0,64336.0,655698.0,5414.0,9605.0,12435.0,-2279.0,1.14,1.98,0.68
2025-03-25 21:18:55.764064,25887.0,3148.0,831.0,15911.0,45777.0,701474.0,23056.0,18555.0,1658.0,-2550.0,2.39,2.31,0.67
2025-03-26 21:18:55.764064,-10508.0,34262.0,12877.0,4508.0,41140.0,742614.0,7285.0,6694.0,22699.0,-3089.0,2.3,2.69,0.59
2025-03-27 21:18:55.764064,44032.0,9480.0,16394.0,5097.0,75003.0,817617.0,5530.0,25642.0,-13186.0,-2664.0,1.22,2.99,0.65
2025-03-28 21:18:55.764064,14042.0,-1543.0,3635.0,5380.0,21513.0,839130.0,7187.0,-21487.0,-1601.0,-1568.0,1.55,2.62,0.58
2025-03-29 21:18:55.764064,15203.0,-2707.0,3372.0,-3394.0,12474.0,851604.0,-7612.0,4323.0,-6811.0,-2144.0,1.28,2.72,0.59
2025-03-30 21:18:55.764064,-31676.0,-151.0,3889.0,1306.0,-26632.0,824972.0,-1374.0,22279.0,9142.0,-3574.0,1.14,2.91,0.55
2025-03-31 21:18:55.764064,25754.0,-23235.0,12560.0,6695.0,21775.0,846747.0,12062.0,-20667.0,26974.0,-4990.0,2.11,1.91,0.55
2025-04-01 21:18:55.764064,31999.0,21686.0,7115.0,-2563.0,58237.0,904984.0,6888.0,5471.0,18876.0,-44.0,1.89,1.23,0.53
2025-04-02 21:18:55.764064,39999.0,-2904.0,-9139.0,123.0,28080.0,933064.0,1109.0,15195.0,8442.0,-348.0,1.59,1.6,0.66
2025-04-03 21:18:55.764064,39936.0,10807.0,5084.0,-2509.0,53318.0,986382.0,9173.0,26621.0,-24347.0,-3300.0,1.4,2.48,0.53
2025-04-04 21:18:55.764064,-25331.0,14289.0,22682.0,-11930.0,-290.0,986092.0,6571.0,19495.0,25782.0,1317.0,1.94,2.01,0.65
2025-04-05 21:18:55.764064,-25625.0,-29854.0,-5111.0,15479.0,-45112.0,940980.0,921.0,20494.0,-8996.0,-4325.0,1.96,1.17,0.58
2025-04-06 21:18:55.764064,-6970.0,-6353.0,4658.0,-27779.0,-36444.0,904536.0,11753.0,-7539.0,-9014.0,-5888.0,2.13,2.21,0.67
2025-04-07 21:18:55.764064,41695.0,-1874.0,7083.0,5118.0,52022.0,956559.0,7086.0,609.0,33343.0,-3816.0,0.82,2.78,0.54
2025-04-08 21:18:55.764064,11251.0,-1682.0,10517.0,8351.0,28436.0,984995.0,-12489.0,13030.0,49757.0,-2629.0,1.19,1.31,0.55
2025-04-09 21:18:55.764064,-9112.0,-1004.0,-83.0,6906.0,-3293.0,981702.0,3043.0,23318.0,211.0,-2591.0,1.79,1.64,0.54
2025-04-10 21:18:55.764064,20095.0,17044.0,-725.0,-12968.0,23445.0,1005148.0,15957.0,-3726.0,7563.0,-2890.0,1.14,2.05,0.59
2025-04-11 21:18:55.764064,60738.0,7130.0,-5257.0,16770.0,79382.0,1084530.0,9683.0,9320.0,-22509.0,1192.0,1.03,2.78,0.58
2025-04-12 21:18:55.764064,-8526.0,14392.0,2578.0,757.0,9201.0,1093731.0,10249.0,3392.0,13859.0,-778.0,0.83,1.5,0.62
2025-04-13 21:18:55.764064,22582.0,-4038.0,2136.0,14091.0,34771.0,1128502.0,8943.0,14913.0,910.0,851.0,1.26,2.89,0.62
2025-04-14 21:18:55.764064,21089.0,25950.0,-1273.0,-10349.0,35416.0,1163918.0,11357.0,6644.0,-3080.0,417.0,2.09,2.75,0.59
2025-04-15 21:18:55.764064,31766.0,12342.0,4116.0,9248.0,57472.0,1221390.0,4761.0,26354.0,9848.0,-3271.0,0.82,2.89,0.61
2025-04-16 21:18:55.764064,-18750.0,-21227.0,-3300.0,1323.0,-41955.0,1179435.0,10715.0,2506.0,19509.0,206.0,1.62,1.57,0.6
2025-04-17 21:18:55.764064,54570.0,15926.0,6271.0,-2353.0,74414.0,1253849.0,5367.0,-18023.0,7121.0,1914.0,1.77,1.25,0.59
2025-04-18 21:18:55.764064,3747.0,1419.0,6312.0,-10461.0,1018.0,1254867.0,860.0,2094.0,28084.0,-2767.0,2.14,2.99,0.61
2025-04-19 21:18:55.764064,54126.0,-4208.0,549.0,267.0,50735.0,1305602.0,-5417.0,-4094.0,22138.0,850.0,1.04,3.0,0.61
2025-04-20 21:18:55.764064,32914.0,3960.0,3836.0,547.0,41257.0,1346858.0,16343.0,-3785.0,12570.0,-1461.0,0.84,1.06,0.57
2025-04-21 21:18:55.764064,-2773.0,19185.0,11943.0,-4505.0,23850.0,1370708.0,-8124.0,4066.0,47792.0,-2536.0,1.34,2.6,0.56
2025-04-22 21:18:55.764064,18156.0,-9768.0,8997.0,-2777.0,14608.0,1385317.0,6212.0,5482.0,-36676.0,-1652.0,1.28,2.85,0.55
2025-04-23 21:18:55.764064,4449.0,30836.0,1527.0,-7054.0,29759.0,1415075.0,3713.0,4092.0,28708.0,-3824.0,2.22,1.03,0.61
2025-04-24 21:18:55.764064,-2590.0,-11218.0,-5963.0,-4039.0,-23809.0,1391266.0,13170.0,10772.0,18485.0,-5511.0,0.89,2.79,0.56
2025-04-25 21:18:55.764064,14406.0,31246.0,-959.0,5572.0,50265.0,1441531.0,14038.0,14435.0,14528.0,-2328.0,2.04,2.97,0.67
2025-04-26 21:18:55.764064,-9877.0,4667.0,22580.0,-12658.0,4712.0,1446243.0,3506.0,17030.0,7723.0,-3644.0,1.1,1.78,0.66
2025-04-27 21:18:55.764064,62902.0,-21500.0,2763.0,-11315.0,32850.0,1479092.0,7620.0,13369.0,28182.0,-5454.0,1.05,2.48,0.53
2025-04-28 21:18:55.764064,56913.0,22343.0,14852.0,-6180.0,87929.0,1567021.0,-3174.0,13601.0,17832.0,-6953.0,2.24,3.1,0.52
2025-04-29 21:18:55.764064,48722.0,-12742.0,8509.0,2431.0,46920.0,1613941.0,4668.0,4141.0,-7990.0,-1672.0,2.03,1.18,0.59
2025-04-30 21:18:55.764064,-14225.0,18249.0,5292.0,6441.0,15757.0,1629698.0,10064.0,10367.0,-6677.0,-2579.0,1.1,1.29,0.57
2025-05-01 21:18:55.764064,45910.0,-2529.0,7888.0,-6371.0,44898.0,1674597.0,5367.0,7990.0,-2923.0,-3693.0,1.66,1.27,0.6
2025-05-02 21:18:55.764064,13288.0,-21399.0,2444.0,3480.0,-2186.0,1672410.0,6761.0,-9214.0,20653.0,-1682.0,2.03,1.62,0.52
2025-05-03 21:18:55.764064,3857.0,-10024.0,8169.0,-6572.0,-4571.0,1667839.0,277.0,9244.0,7479.0,-7628.0,1.93,1.65,0.67
2025-05-04 21:18:55.764064,-25176.0,387.0,11889.0,-6098.0,-18998.0,1648841.0,15546.0,17164.0,-6077.0,-5409.0,1.47,1.41,0.63
2025-05-05 21:18:55.764064,-15255.0,-12828.0,217.0,-15006.0,-42872.0,1605969.0,9754.0,13778.0,20652.0,-585.0,1.28,2.62,0.53
2025-05-06 21:18:55.764064,30332.0,14788.0,-2429.0,4870.0,47560.0,1653529.0,3616.0,9118.0,-1990.0,-3380.0,1.41,2.26,0.66
2025-05-07 21:18:55.764064,35593.0,-16732.0,-572.0,-8252.0,10037.0,1663566.0,-8006.0,11599.0,-7161.0,-3746.0,1.4,1.33,0.65
2025-05-08 21:18:55.764064,30328.0,9368.0,-2482.0,-7226.0,29988.0,1693554.0,-6144.0,20617.0,21440.0,-3822.0,1.15,2.46,0.67
2025-05-09 21:18:55.764064,-10701.0,18063.0,-991.0,-665.0,5706.0,1699260.0,6562.0,31676.0,460.0,-4382.0,0.82,3.15,0.65
2025-05-10 21:18:55.764064,29326.0,2961.0,12118.0,10028.0,54432.0,1753693.0,13949.0,17405.0,16246.0,-5488.0,2.24,1.04,0.54
2025-05-11 21:18:55.764064,-5473.0,-10221.0,6614.0,-9530.0,-18609.0,1735083.0,-1505.0,2122.0,17048.0,-1833.0,1.22,1.79,0.64
2025-05-12 21:18:55.764064,1137.0,12478.0,-492.0,-5998.0,7126.0,1742209.0,8528.0,-887.0,50479.0,-1877.0,2.43,2.98,0.59
2025-05-13 21:18:55.764064,12474.0,14894.0,-6509.0,10402.0,31261.0,1773470.0,9833.0,33942.0,40816.0,-1127.0,1.09,1.66,0.64
2025-05-14 21:18:55.764064,3492.0,-9903.0,6831.0,3821.0,4242.0,1777711.0,5251.0,-1666.0,8276.0,-4431.0,1.1,2.43,0.64
2025-05-15 21:18:55.764064,35738.0,-9767.0,-10967.0,-2290.0,12713.0,1790425.0,-13621.0,13431.0,25453.0,-4571.0,2.16,2.76,0.58
2025-05-16 21:18:55.764064,23218.0,213.0,12385.0,-6074.0,29742.0,1820167.0,9441.0,15886.0,23132.0,-3311.0,1.92,2.27,0.63
2025-05-17 21:18:55.764064,12006.0,-2471.0,-10871.0,-13664.0,-15000.0,1805167.0,11846.0,-15711.0,30203.0,-1393.0,1.79,1.21,0.61
2025-05-18 21:18:55.764064,11693.0,10697.0,6080.0,3171.0,31640.0,1836807.0,10053.0,19995.0,3363.0,-191.0,1.41,2.15,0.53
2025-05-19 21:18:55.764064,-7527.0,-2591.0,-168.0,-6796.0,-17082.0,1819725.0,468.0,14875.0,41681.0,-2583.0,1.21,3.03,0.66
2025-05-20 21:18:55.764064,-15534.0,19489.0,12120.0,14414.0,30489.0,1850214.0,17363.0,17302.0,19658.0,-1761.0,0.84,2.3,0.63
2025-05-21 21:18:55.764064,10601.0,16682.0,-3500.0,-1125.0,22658.0,1872872.0,-861.0,-8166.0,12747.0,-2392.0,1.64,2.1,0.63
2025-05-22 21:18:55.764064,11728.0,11690.0,-435.0,-2463.0,20520.0,1893392.0,5343.0,3543.0,15308.0,-2260.0,2.49,3.0,0.6
2025-05-23 21:18:55.764064,72871.0,1361.0,4974.0,-6916.0,72291.0,1965683.0,22158.0,1522.0,-20542.0,-1756.0,1.83,1.81,0.55
2025-05-24 21:18:55.764064,-14900.0,21218.0,1732.0,4051.0,12101.0,1977784.0,16012.0,31121.0,7115.0,-5729.0,1.95,1.7,0.54
2025-05-25 21:18:55.764064,-18084.0,13292.0,10216.0,6822.0,12246.0,1990030.0,3642.0,-4298.0,49139.0,-4715.0,1.37,1.92,0.52
2025-05-26 21:18:55.764064,19674.0,-10157.0,-837.0,-1834.0,6845.0,1996875.0,-2448.0,2170.0,9810.0,-3496.0,1.08,2.76,0.53
2025-05-27 21:18:55.764064,-1610.0,26040.0,24.0,3458.0,27913.0,2024788.0,5474.0,9118.0,5329.0,-3949.0,1.89,3.03,0.59
2025-05-28 21:18:55.764064,-25065.0,3683.0,-8895.0,-6129.0,-36407.0,1988381.0,5685.0,5392.0,-8531.0,-557.0,2.31,1.59,0.58
2025-05-29 21:18:55.764064,37860.0,18029.0,6942.0,-9086.0,53746.0,2042127.0,2304.0,6566.0,-19805.0,-142.0,1.42,1.58,0.52
2025-05-30 21:18:55.764064,12287.0,-15068.0,8062.0,-1790.0,3491.0,2045618.0,-7491.0,45.0,-7132.0,-5448.0,1.66,1.78,0.62
2025-05-31 21:18:55.764064,60425.0,-6881.0,-8415.0,7831.0,52960.0,2098578.0,9204.0,14597.0,13811.0,1479.0,2.43,3.14,0.62
2025-06-01 21:18:55.764064,42646.0,-2345.0,930.0,-3075.0,38157.0,2136734.0,6098.0,15640.0,17394.0,-3115.0,1.33,2.67,0.61
2025-06-02 21:18:55.764064,37303.0,-27619.0,296.0,-10532.0,-552.0,2136182.0,16950.0,17607.0,14725.0,-3825.0,0.9,1.06,0.54
2025-06-03 21:18:55.764064,3824.0,7304.0,961.0,-3378.0,8711.0,2144893.0,4383.0,13775.0,-16034.0,-1612.0,2.09,1.43,0.65
2025-06-04 21:18:55.764064,7507.0,1988.0,13891.0,1080.0,24465.0,2169358.0,2287.0,7005.0,46129.0,-1880.0,2.06,1.88,0.54
2025-06-05 21:18:55.764064,-29063.0,18079.0,3033.0,8702.0,751.0,2170109.0,-10457.0,4630.0,15017.0,-7236.0,1.32,2.96,0.59
2025-06-06 21:18:55.764064,-4937.0,-2220.0,18837.0,-17749.0,-6069.0,2164040.0,14727.0,-1357.0,68065.0,-1556.0,1.22,1.85,0.52
2025-06-07 21:18:55.764064,-12934.0,21840.0,-10208.0,4720.0,3419.0,2167459.0,-2340.0,33423.0,24517.0,-3057.0,2.0,1.58,0.6
2025-06-08 21:18:55.764064,50866.0,2569.0,-1174.0,10032.0,62293.0,2229752.0,1477.0,13295.0,-2045.0,-1368.0,1.31,2.88,0.59
2025-06-09 21:18:55.764064,57877.0,944.0,-2160.0,15294.0,71955.0,2301707.0,8467.0,8349.0,-7904.0,-137.0,1.65,3.2,0.6
2025-06-10 21:18:55.764064,35468.0,26340.0,8475.0,19974.0,90258.0,2391965.0,4766.0,8556.0,26520.0,-3214.0,2.15,1.94,0.53
2025-06-11 21:18:55.764064,24098.0,12586.0,8397.0,10010.0,55090.0,2447055.0,10543.0,2804.0,2166.0,-2924.0,1.11,1.51,0.62
2025-06-12 21:18:55.764064,-45191.0,-22076.0,1012.0,17411.0,-48845.0,2398210.0,7502.0,6770.0,35744.0,-1979.0,2.19,1.1,0.63
2025-06-13 21:18:55.764064,-7614.0,15452.0,5479.0,-2806.0,10511.0,2408721.0,-1280.0,-6321.0,18687.0,-3404.0,1.2,2.03,0.67
2025-06-14 21:18:55.764064,5908.0,15846.0,10314.0,-14998.0,17070.0,2425791.0,13556.0,4078.0,40765.0,-4300.0,1.98,1.45,0.59
2025-06-15 21:18:55.764064,57662.0,12863.0,7359.0,8759.0,86644.0,2512435.0,27108.0,6795.0,37857.0,-4705.0,1.95,2.27,0.66
2025-06-16 21:18:55.764064,7373.0,-4156.0,7702.0,1938.0,12857.0,2525291.0,3314.0,1356.0,4663.0,-1446.0,2.24,2.11,0.62
2025-06-17 21:18:55.764064,34777.0,-9995.0,-6401.0,-10969.0,7412.0,2532704.0,-5321.0,16142.0,1146.0,-5540.0,2.12,1.49,0.65
2025-06-18 21:18:55.764064,41886.0,22620.0,16359.0,286.0,81151.0,2613855.0,5022.0,6331.0,12475.0,-3851.0,0.81,2.74,0.57
2025-06-19 21:18:55.764064,544.0,-3402.0,9082.0,23705.0,29928.0,2643783.0,1025.0,-6958.0,32517.0,-2610.0,1.7,3.13,0.65
2025-06-20 21:18:55.764064,-5680.0,-6293.0,12794.0,-1491.0,-670.0,2643114.0,2443.0,11326.0,-41711.0,-6637.0,1.35,3.02,0.62
2025-06-21 21:18:55.764064,43320.0,-357.0,-9657.0,-3137.0,30170.0,2673284.0,22466.0,27731.0,19706.0,-3863.0,0.95,3.07,0.68
2025-06-22 21:18:55.764064,23138.0,12898.0,-3779.0,1742.0,33999.0,2707283.0,-403.0,26108.0,-19036.0,-1828.0,1.21,1.71,0.65
2025-06-23 21:18:55.764064,-29326.0,-5383.0,-768.0,1325.0,-34151.0,2673132.0,6026.0,19612.0,6383.0,-4166.0,2.47,2.3,0.57
2025-06-24 21:18:55.764064,-24530.0,-2233.0,9552.0,-3022.0,-20233.0,2652899.0,-5745.0,6910.0,3120.0,-576.0,2.0,2.84,0.67
2025-06-25 21:18:55.764064,-26879.0,10161.0,-3271.0,1433.0,-18556.0,2634343.0,-3576.0,8054.0,20726.0,-1735.0,0.93,2.84,0.57
2025-06-26 21:18:55.764064,-11874.0,-2410.0,373.0,13555.0,-356.0,2633988.0,5248.0,7791.0,27669.0,-4044.0,1.93,2.89,0.68
2025-06-27 21:18:55.764064,8544.0,19937.0,7700.0,10730.0,46911.0,2680899.0,-3854.0,6763.0,46114.0,-5742.0,1.77,2.26,0.56
2025-06-28 21:18:55.764064,33678.0,8650.0,15591.0,-11419.0,46501.0,2727400.0,490.0,9282.0,28558.0,-585.0,1.43,1.9,0.67
2025-06-29 21:18:55.764064,15871.0,983.0,-11462.0,14885.0,20276.0,2747676.0,6751.0,19453.0,3824.0,-2816.0,2.13,3.02,0.67
2025-06-30 21:18:55.764064,31677.0,11552.0,-3738.0,24492.0,63983.0,2811659.0,-2604.0,16814.0,16996.0,-3827.0,2.43,2.27,0.6
2025-07-01 21:18:55.764064,-27040.0,45296.0,8109.0,1174.0,27540.0,2839199.0,-1701.0,7514.0,1853.0,-239.0,2.01,2.28,0.63
2025-07-02 21:18:55.764064,52490.0,-9144.0,182.0,-12613.0,30916.0,2870115.0,7402.0,11851.0,48153.0,-2838.0,1.85,1.68,0.56
2025-07-03 21:18:55.764064,-13798.0,-4723.0,318.0,6371.0,-11832.0,2858283.0,14316.0,3274.0,22332.0,-444.0,1.23,1.23,0.56
2025-07-04 21:18:55.764064,25212.0,5125.0,-8706.0,11520.0,33151.0,2891434.0,13380.0,952.0,22960.0,-1173.0,1.56,1.69,0.67
2025-07-05 21:18:55.764064,16483.0,-5205.0,-4951.0,-1735.0,4592.0,2896025.0,10072.0,-14216.0,-14992.0,-4215.0,2.37,3.05,0.59
2025-07-06 21:18:55.764064,-24671.0,-8131.0,4704.0,13156.0,-14942.0,2881084.0,-14280.0,19953.0,-744.0,-3573.0,2.43,2.63,0.54
2025-07-07 21:18:55.764064,87297.0,13796.0,873.0,-10133.0,91833.0,2972917.0,-5707.0,18838.0,-2306.0,-3708.0,1.5,2.28,0.54
2025-07-08 21:18:55.764064,-21114.0,29335.0,-6406.0,13314.0,15129.0,2988046.0,20784.0,22377.0,31328.0,-1408.0,1.03,3.12,0.65
2025-07-09 21:18:55.764064,38933.0,7292.0,-108.0,1019.0,47136.0,3035183.0,5880.0,8676.0,19821.0,-5042.0,2.18,2.99,0.56
2025-07-10 21:18:55.764064,5766.0,-3157.0,9301.0,3462.0,15372.0,3050555.0,11206.0,9831.0,21171.0,-203.0,0.84,1.73,0.53
2025-07-11 21:18:55.764064,3959.0,2309.0,459.0,-9812.0,-3085.0,3047470.0,-7045.0,8951.0,22870.0,108.0,1.98,2.61,0.64
2025-07-12 21:18:55.764064,3520.0,1099.0,-10535.0,16945.0,11029.0,3058499.0,-5305.0,7822.0,34051.0,68.0,1.25,2.02,0.66
2025-07-13 21:18:55.764064,-2928.0,15774.0,-3152.0,424.0,10118.0,3068617.0,15786.0,12503.0,11169.0,-3552.0,2.47,2.28,0.66
2025-07-14 21:18:55.764064,15775.0,6165.0,-6683.0,-8901.0,6356.0,3074973.0,4006.0,-849.0,11186.0,-1287.0,2.35,2.8,0.68
2025-07-15 21:18:55.764064,17483.0,8231.0,5991.0,7595.0,39300.0,3114273.0,13416.0,19911.0,-2279.0,-92.0,1.52,1.65,0.54
2025-07-16 21:18:55.764064,38215.0,3553.0,-839.0,3635.0,44564.0,3158838.0,9287.0,17309.0,4566.0,-4914.0,1.76,1.17,0.54
2025-07-17 21:18:55.764064,19356.0,10600.0,-4338.0,-9949.0,15669.0,3174507.0,-502.0,5755.0,-1512.0,-1889.0,2.17,2.86,0.62
2025-07-18 21:18:55.764064,-584.0,12689.0,17366.0,9713.0,39185.0,3213691.0,-1346.0,12018.0,-11429.0,-5315.0,1.77,2.68,0.61
2025-07-19 21:18:55.764064,5471.0,8633.0,3808.0,12433.0,30345.0,3244037.0,5849.0,3887.0,-15346.0,-2812.0,2.1,3.05,0.57
2025-07-20 21:18:55.764064,-12202.0,4733.0,1361.0,6858.0,751.0,3244787.0,4210.0,-8777.0,11181.0,-1464.0,1.87,2.53,0.58
2025-07-21 21:18:55.764064,51599.0,-11233.0,12707.0,-16467.0,36606.0,3281393.0,27963.0,29394.0,21575.0,-1283.0,2.43,2.74,0.54
2025-07-22 21:18:55.764064,36028.0,23164.0,688.0,23920.0,83800.0,3365193.0,4645.0,22199.0,18061.0,-3709.0,1.53,1.86,0.63
2025-07-23 21:18:55.764064,34228.0,18195.0,-10983.0,11650.0,53090.0,3418283.0,-6825.0,1865.0,-4218.0,-6142.0,1.32,2.59,0.6
2025-07-24 21:18:55.764064,-10481.0,21102.0,4769.0,6370.0,21760.0,3440043.0,6158.0,-14242.0,-6930.0,-1853.0,1.22,2.12,0.67
2025-07-25 21:18:55.764064,-11558.0,-20398.0,6050.0,-10653.0,-36560.0,3403484.0,1779.0,27545.0,-2960.0,-893.0,2.0,1.57,0.64
2025-07-26 21:18:55.764064,26429.0,12616.0,8506.0,-8081.0,39470.0,3442953.0,7531.0,8301.0,34580.0,-4280.0,1.43,1.87,0.54
2025-07-27 21:18:55.764064,-963.0,-2432.0,1741.0,16417.0,14764.0,3457717.0,8653.0,22809.0,12262.0,-435.0,0.96,2.36,0.63
2025-07-28 21:18:55.764064,45063.0,12572.0,-818.0,18401.0,75218.0,3532935.0,9476.0,19171.0,13954.0,-5067.0,2.04,2.22,0.67
2025-07-29 21:18:55.764064,22364.0,-2920.0,7386.0,10778.0,37608.0,3570543.0,-7020.0,-10014.0,-19570.0,-49.0,2.3,1.24,0.62
2025-07-30 21:18:55.764064,18019.0,-11504.0,-3426.0,7177.0,10266.0,3580809.0,-1055.0,13147.0,13975.0,1764.0,1.31,1.25,0.64
2025-07-31 21:18:55.764064,-3666.0,1799.0,-2814.0,9422.0,4741.0,3585550.0,8575.0,27536.0,5601.0,-2860.0,0.91,2.54,0.61
2025-08-01 21:18:55.764064,26191.0,-24733.0,14337.0,21894.0,37688.0,3623238.0,9233.0,10056.0,-15855.0,-4731.0,0.87,1.32,0.54
2025-08-02 21:18:55.764064,41747.0,-19010.0,6559.0,1016.0,30312.0,3653550.0,16820.0,12468.0,-32285.0,-2120.0,1.75,1.88,0.56
2025-08-03 21:18:55.764064,-12889.0,-6026.0,-623.0,-569.0,-20107.0,3633443.0,-6929.0,3029.0,37608.0,-3503.0,1.56,3.1,0.54
2025-08-04 21:18:55.764064,3785.0,14362.0,-7050.0,7797.0,18894.0,3652337.0,14101.0,25103.0,15613.0,-1657.0,1.49,1.43,0.63
2025-08-05 21:18:55.764064,18919.0,-19590.0,-10716.0,13962.0,2576.0,3654913.0,-4601.0,17448.0,33011.0,-4968.0,1.66,2.47,0.54
2025-08-06 21:18:55.764064,-45712.0,11370.0,7047.0,1477.0,-25817.0,3629096.0,8162.0,1226.0,-9987.0,-4977.0,1.26,1.77,0.58
2025-08-07 21:18:55.764064,37189.0,-13223.0,1946.0,-1553.0,24360.0,3653456.0,12653.0,-2036.0,4243.0,-5185.0,1.14,1.63,0.64
2025-08-08 21:18:55.764064,-16182.0,3692.0,-3650.0,-25619.0,-41759.0,3611696.0,6592.0,18443.0,11598.0,-914.0,1.14,2.6,0.6
2025-08-09 21:18:55.764064,-8291.0,11867.0,-6846.0,17429.0,14159.0,3625855.0,14790.0,-6387.0,43341.0,-846.0,2.44,2.54,0.62
2025-08-10 21:18:55.764064,-21302.0,29419.0,-44.0,12840.0,20913.0,3646768.0,-3541.0,20402.0,-13807.0,-757.0,1.27,2.3,0.52
2025-08-11 21:18:55.764064,-4030.0,-13172.0,6119.0,20050.0,8966.0,3655734.0,1683.0,18703.0,12038.0,-1725.0,1.65,3.03,0.57
2025-08-12 21:18:55.764064,45076.0,-14378.0,8519.0,11872.0,51089.0,3706823.0,7895.0,24691.0,14748.0,-789.0,1.19,2.19,0.63
2025-08-13 21:18:55.764064,-15738.0,16022.0,20342.0,-3583.0,17043.0,3723866.0,7608.0,13704.0,15665.0,-1405.0,2.27,1.58,0.59
2025-08-14 21:18:55.764064,3462.0,18643.0,322.0,11078.0,33506.0,3757372.0,-6314.0,-4140.0,-7255.0,-2729.0,0.86,2.97,0.67
2025-08-15 21:18:55.764064,17318.0,-6860.0,-14551.0,8825.0,4731.0,3762102.0,-6226.0,35704.0,41469.0,-3133.0,1.69,1.71,0.61
2025-08-16 21:18:55.764064,49718.0,23064.0,15345.0,13091.0,101218.0,3863320.0,791.0,-14259.0,33077.0,-1447.0,1.54,1.8,0.63
2025-08-17 21:18:55.764064,-17351.0,3286.0,-8786.0,-6590.0,-29441.0,3833880.0,-466.0,21484.0,37103.0,-744.0,1.58,1.18,0.63
2025-08-18 21:18:55.764064,-702.0,-8041.0,6630.0,10986.0,8872.0,3842752.0,7010.0,7289.0,22828.0,-5809.0,2.24,2.76,0.53
